simNo:int,simPar_EleakVal:decimal,simParPer_gBarP:int,simParPer_gBarK2:int,simParPer_gBarLeak:int,simParPer_gBarSynS:int,simParPer_gBarCaS:int,simParPer_gBarSynG:int,simParPer_gBarh:int,meanPeriod_L:decimal,meanPeriod_R:decimal,spkFreq_L:decimal,spkFreq_R:decimal,meanDutyCycle_L:decimal,meanDutyCycle_R:decimal,meanPhase_L:decimal,meanPhase_R:decimal
6320598,-0.06,175,150,175,100,100,100,150,25.2036,26.3067,22.92782855,22.73440239,0.4977702,0.5574435,0.4360372,0.5448785
6327547,-0.065,125,100,125,175,100,100,150,27.65215,26.39605,17.63827427,16.85259739,0.4528364,0.4885276,0.55657,0.4687122
6334676,-0.07,175,150,75,50,125,100,150,30.899,28.6047,35.72283867,35.5957632,0.4174536,0.5201243,0.5851836,0.4582673
6334709,-0.055,125,175,75,50,125,100,150,5.77925,5.4541,31.42840667,31.6046545,0.5147727,0.5280248,0.5559854,0.4752952
6335274,-0.055,150,125,125,50,125,100,150,27.9785,30.81915,34.68772901,33.22425747,0.2646639,0.8133904,0.3636797,0.599396
6375501,-0.07,100,75,75,50,175,100,150,25.41385,24.1985,26.85620355,27.27134578,0.4800139,0.4804471,0.5622249,0.464662
6376512,-0.065,150,100,150,50,175,100,150,26.94125,25.443,26.39902577,25.39914241,0.4425704,0.4972252,0.5679912,0.4635958
6378837,-0.065,175,150,125,75,175,100,150,34.0783,32.1889,28.56303299,30.14507316,0.4604543,0.4745176,0.5714423,0.4602401
6392647,-0.065,25,0,25,25,0,100,175,28.48185,26.8418,13.93152445,14.32664756,0.5231191,0.439475,0.567827,0.4648697
6419384,-0.055,100,100,100,75,25,100,175,24.2812,23.0319,20.94509002,20.85438306,0.4398382,0.4944881,0.5753629,0.4542403
6419386,-0.07,125,100,100,75,25,100,175,12.23596,12.25315,16.54371805,15.84162342,0.2270167,0.7644773,0.5607505,0.438458
6419943,-0.06,100,50,150,75,25,100,175,18.35697,18.32373,11.01635359,9.662265047,0.2099168,0.7750913,0.4329345,0.5680647
6421256,-0.07,75,75,50,100,25,100,175,15.3824,15.36084,15.51828776,13.94682496,0.1722549,0.8196486,0.4331768,0.5679987
6421666,-0.07,125,125,75,100,25,100,175,29.0866,30.80175,20.03887542,17.67726417,0.08645906,0.9723441,0.3855317,0.5917347
6421946,-0.07,125,100,100,100,25,100,175,17.58903,17.54293,16.2129611,14.02532452,0.1858867,0.8118816,0.5630953,0.4383423
6427752,-0.065,150,125,150,150,25,100,175,14.7514,14.74047,13.79488727,12.78732851,0.1571546,0.8269465,0.4323606,0.5681387
6430312,-0.065,150,125,150,175,25,100,175,12.68034,12.73154,13.49078179,13.73278943,0.7956478,0.1915961,0.4360593,0.5621601
